Metro,sentiment,retweets
Bengaluru,negative,3.512248859284131
Bengaluru,neutral,86.85345267247496
Bengaluru,positive,9.634298468240914
Delhi,negative,10.588295817529616
Delhi,neutral,70.66861221925504
Delhi,positive,18.74309196321534
Hyderabad,negative,8.217665599998464
Hyderabad,neutral,80.52164011517328
Hyderabad,positive,11.260694284828253
Kolkata,negative,3.8852035441893875
Kolkata,neutral,82.58371711980578
Kolkata,positive,13.531079336004828
Mumbai,negative,8.405824112936273
Mumbai,neutral,72.59292977444525
Mumbai,positive,19.00124611261847
