cleaned_text,created_at,follower_count,profile_image,retweets,sentiment,text,tweet_id,user_name,user_url
Nobody: Me at 12am on February 1st every year,2019-02-01 23:59:38,134,https://pbs.twimg.com/profile_images/1058069966384185344/g0hxl76z_normal.jpg,35253,neutral,"@HerDreadsRock: Nobody:

Me at 12am on February 1st every year: https://t.co/oN7x1Tlqhg",1091486264229068807,sadie.,https://twitter.com/sadie__modi
I spoke with Mamata Di tonight and told her we stand shoulder to shoulder with her The happenings in Bengal are a part…,2019-02-03 23:56:50,44,https://pbs.twimg.com/profile_images/948367308677816320/vcT5AL1V_normal.jpg,11112,neutral,"@RahulGandhi: I spoke with Mamata Di tonight and told her we stand shoulder to shoulder with her. 

The happenings in Bengal are a part…",1092210335094849538,Eswaran,https://twitter.com/gpa_eswar
I thank the people of Jind for blessing This is a seat where the Party has never won before Glad to see th…,2019-02-01 23:52:33,0,https://pbs.twimg.com/profile_images/1089196518064541696/j1vMIGHK_normal.jpg,8173,positive,@narendramodi: I thank the people of Jind for blessing @BJP4Haryana. This is a seat where the Party has never won before. Glad to see th…,1091484479049232384,Praveen Pandey,https://twitter.com/Praveen07319996
Pappu brought PG (Priyanka Gandhi Modi brought PG (Piyush Goyal ab RT karo sab,2019-02-01 23:57:13,270,https://pbs.twimg.com/profile_images/879218373573304320/aPWomkgV_normal.jpg,7437,neutral,"@rahulroushan: Pappu brought PG (Priyanka Gandhi) 
Modi brought PG (Piyush Goyal) 

ab RT karo sab",1091485653307662342,Shantilal sharma,https://twitter.com/sharma3670
Modi Government clears one more step to get Mallya extradited while Opposition rallies around the Saradha Scamsters.,2019-02-04 23:55:52,22921,https://pbs.twimg.com/profile_images/939099593756889088/RcbqnoUc_normal.jpg,7143,positive,@arunjaitley: Modi Government clears one more step to get Mallya extradited while Opposition rallies around the Saradha Scamsters.,1092572478168358912,Braj Gopal Pandey,https://twitter.com/pandey_braj
_in मुझ भ गुजरा मे 9-9 घंट त बिठाक दिल्ल स आ एजेंसिया पूछता करत थीं त मैंन ए बा भ नही कह थ क दिल्…,2019-02-02 16:53:41,797,https://pbs.twimg.com/profile_images/548400521438965760/FUs0G1VE_normal.jpeg,6385,neutral,"@narendramodi_in: मुझे भी गुजरात में 9-9 घंटे तक बिठाकर दिल्ली से आई एजेंसियां पूछताछ करती थीं। 

तब मैंने एक बार भी नहीं कहा था कि दिल्…",1091741458552549382,@run,https://twitter.com/mitron_mufc
Arrests CBI Denied permission for rallies Doesn’t let ’s choppers land Let’s her goonda party men to ki…,2019-02-03 23:58:55,98,https://pbs.twimg.com/profile_images/722404313318957056/8Zsv_HIg_normal.jpg,6353,neutral,"@BJP4Karnataka: - Arrests CBI
- Denied permission for rallies
- Doesn’t let @AmitShah’s choppers land
- Let’s her goonda party men to ki…",1092210856040062976,SachinMundra 🇮🇳,https://twitter.com/xxSachinx
Thanks to Namo it seems Dubai Abu Dhabhi no more safe sanctuary for Indian criminals If this trend continues we shall soon…,2019-02-01 23:52:46,35,https://pbs.twimg.com/profile_images/978220365175541760/mcYCDLQo_normal.jpg,6219,positive,@Swamy39: Thanks to Namo it seems Dubai / Abu Dhabhi no more safe sanctuary for Indian criminals. If this trend continues we shall soon…,1091484534409854976,Sahjanand Rai,https://twitter.com/sahaj37
BJP शासि राज्यो समे पूर दे मे बेरोक-टो घूमत है लेकि बंगा मे आन स BJP नेताओ क ह बा रो देत हैं....! प ए…,2019-02-06 23:56:38,43,https://pbs.twimg.com/profile_images/988250358844538880/AcXGotWN_normal.jpg,6176,neutral,@manakgupta: BJP शासित राज्यों समेत पूरे देश में बेरोक-टोक घूमती हैं लेकिन बंगाल में आने से BJP नेताओं को हर बार रोक देती हैं....!! पर ए…,1093297448326389760,Shekhar,https://twitter.com/252b4a12ee604fa
I want your direct feedback on various issues…take part in the survey on the ‘Narendra Modi Mobile App.,2019-02-01 23:51:00,3,https://pbs.twimg.com/profile_images/1091514043368562688/W5vIGuOo_normal.jpg,6119,positive,@narendramodi: I want your direct feedback on various issues…take part in the survey on the ‘Narendra Modi Mobile App.' https://t.co/hds…,1091484091189317633,Rajutrivedi,https://twitter.com/Rajutrivedi11
